Province_State,Admin2,UID,iso2,iso3,code3,FIPS,Country_Region,Lat,Long_,Combined_Key,Population,Total_deaths_2020-01,Total_deaths_2020-02,Total_deaths_2020-03,Total_deaths_2020-04,Total_deaths_2020-05,Total_deaths_2020-06,Total_deaths_2020-07,Total_deaths_2020-08,Total_deaths_2020-09,Total_deaths_2020-10,Total_deaths_2020-11,Total_deaths_2020-12,Total_deaths_2021-01,Total_deaths_2021-02,Total_deaths_2021-03,Total_deaths_2021-04,Total_deaths_2021-05,Total_deaths_2021-06,Total_deaths_2021-07,Total_deaths_2021-08,Total_deaths_2021-09,Total_deaths_2021-10,Total_deaths_2021-11,Total_deaths_2021-12,Total_deaths_2022-01,Total_deaths_2022-02,Total_deaths_2022-03,Total_deaths_2022-04,Total_deaths_2022-05,Total_deaths_2022-06,Total_deaths_2022-07,Total_deaths_2022-08,Total_deaths_2022-09,Total_deaths_2022-10,Total_deaths_2022-11,Total_deaths_2022-12,Total_deaths_2023-01,Total_deaths_2023-02,Total_deaths_2023-03
Alabama,Autauga,84001001,US,USA,840,1001.0,US,32.53952745,-86.64408227,"Autauga, Alabama, US",55869,0,0,0,43,107,213,520,668,718,893,1072,1355,1773,2286,2965,3129,3366,3381,3508,3563,3775,4510,4614,4915,5043,5012,6408,6420,6696,6502,6766,6869,6775,7063,6869,7130,7130,6440,2088
Alabama,Baldwin,84001003,US,USA,840,1003.0,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",223234,0,0,3,58,220,270,409,898,1365,1996,2550,4502,5769,7002,9122,9062,9578,9394,9957,10869,13172,16693,17418,18331,18723,17619,20579,20345,21111,20490,21215,21451,21143,22155,21480,22243,22352,20258,6536
Alabama,Barbour,84001005,US,USA,840,1005.0,US,31.868263,-85.3871286,"Barbour, Alabama, US",24686,0,0,0,2,31,30,92,189,210,265,285,931,1124,1322,1637,1659,1770,1778,1868,1983,2021,2303,2370,2502,2568,2493,2942,2935,3045,2970,3090,3128,3041,3193,3090,3193,3193,2884,927
Alabama,Bibb,84001007,US,USA,840,1007.0,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",22394,0,0,0,0,24,30,49,153,241,393,498,1244,1490,1569,1806,1798,1978,1920,2009,2104,2308,2650,2772,2943,2948,2731,3101,3073,3244,3150,3255,3255,3196,3343,3240,3348,3362,3052,981
Alabama,Blount,84001009,US,USA,840,1009.0,US,33.98210918,-86.56790593,"Blount, Alabama, US",57826,0,0,0,0,15,30,37,166,397,639,981,1590,2510,3308,4008,4007,4273,4170,4309,4378,4498,5336,5634,6038,6277,5974,7070,7224,7534,7343,7647,7762,7663,7998,7741,8054,8081,7308,2349
Alabama,Bullock,84001011,US,USA,840,1011.0,US,32.10030533,-85.71265535,"Bullock, Alabama, US",10101,0,0,0,0,44,246,317,371,406,509,551,619,832,893,1185,1200,1288,1260,1302,1277,1265,1363,1334,1417,1430,1368,1586,1604,1674,1620,1674,1674,1620,1674,1620,1674,1674,1512,486
Alabama,Butler,84001013,US,USA,840,1013.0,US,31.75300095,-86.68057478,"Butler, Alabama, US",19448,0,0,0,5,255,729,964,1109,1132,1245,1232,1358,1709,1776,2046,2018,2154,2130,2210,2243,2449,2920,2976,3152,3216,3163,3868,3865,3999,3870,3999,3999,3870,4018,3900,4030,4037,3689,1188
Alabama,Calhoun,84001015,US,USA,840,1015.0,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",113605,0,0,0,39,93,113,178,607,1083,1685,2686,4217,5986,7351,9280,9330,9863,9796,10269,10619,11324,14409,15380,16262,16727,16017,18727,18678,19439,18883,19723,19827,19484,20400,19812,20542,20790,18879,6106
Alabama,Chambers,84001017,US,USA,840,1017.0,US,32.91360079,-85.39072749,"Chambers, Alabama, US",33254,0,0,10,344,692,792,986,1182,1227,1350,1448,1780,2119,2607,3511,3636,3813,3713,3840,3895,3898,4357,4298,4473,4561,4192,4901,4848,5022,4861,5093,5115,5021,5239,5070,5264,5270,4760,1548
Alabama,Cherokee,84001019,US,USA,840,1019.0,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",26196,0,0,0,0,23,154,217,261,384,423,559,728,883,1032,1287,1322,1395,1350,1450,1508,1523,1807,1864,1991,2068,2069,2553,2567,2666,2580,2684,2697,2610,2697,2610,2733,2759,2492,801
Alabama,Chilton,84001021,US,USA,840,1021.0,US,32.85044126,-86.7173256,"Chilton, Alabama, US",44428,0,0,0,9,31,55,95,260,617,960,1077,1491,2012,2499,3280,3293,3506,3471,3606,3660,3942,4845,5045,5326,5486,5187,6099,6141,6417,6235,6541,6572,6390,6629,6420,6677,6696,6076,1964
Alabama,Choctaw,84001023,US,USA,840,1023.0,US,32.02227341,-88.26564429999998,"Choctaw, Alabama, US",12589,0,0,0,0,89,332,372,372,360,372,371,634,720,649,726,720,754,750,775,775,765,837,831,904,954,937,1102,1080,1132,1110,1147,1147,1126,1178,1161,1209,1209,1092,351
Alabama,Clarke,84001025,US,USA,840,1025.0,US,31.68099859,-87.83548597,"Clarke, Alabama, US",23622,0,0,0,10,49,104,218,316,447,508,551,729,985,1254,1723,1799,1887,1830,1917,1994,2160,2536,2570,2688,2754,2626,3030,2988,3128,3030,3138,3211,3145,3286,3180,3311,3317,2996,963
Alabama,Clay,84001027,US,USA,840,1027.0,US,33.26984193,-85.85836077,"Clay, Alabama, US",13235,0,0,0,5,49,60,77,165,206,332,517,915,1304,1476,1674,1649,1756,1758,1829,1844,1852,2083,2079,2139,2178,2055,2473,2441,2542,2460,2567,2594,2616,2790,2700,2790,2818,2576,837
Alabama,Cleburne,84001029,US,USA,840,1029.0,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",14910,0,0,0,12,31,30,31,67,164,215,358,463,675,961,1269,1230,1283,1306,1360,1407,1435,1785,1800,1860,1907,1828,2125,2070,2139,2070,2139,2139,2102,2201,2130,2201,2201,1988,641
