Country/Region,Province/State,Lat,Long,Total_deaths_2020-12,Total_deaths_2021-12,Total_deaths_2022-12,Total_deaths_2023-12
Afghanistan,Unknown,33.93911,67.709953,296447,1778958,2810220,535810
Albania,Unknown,41.1533,20.1683,88375,871276,1281171,244558
Algeria,Unknown,28.0339,1.6596,377806,1563862,2491699,467908
Andorra,Unknown,42.5063,1.5218,15492,44641,55837,11220
Angola,Unknown,-11.2027,17.8739,36818,368673,695036,131307
Antarctica,Unknown,-71.9499,23.347,0,0,0,0
Antigua and Barbuda,Unknown,17.0608,-61.7964,864,18632,50867,9928
Argentina,Unknown,-38.4161,-63.6167,3802826,31681182,46687472,8865665
Armenia,Unknown,40.0691,45.0382,248551,1738064,3125933,592845
Australia,Australian Capital Territory,-35.4735,149.0124,810,2017,29833,11768
Australia,New South Wales,-33.8688,151.2093,13292,77253,1334585,423565
Australia,Northern Territory,-12.4634,130.8456,0,29,18315,5971
Australia,Queensland,-27.4698,153.0251,1636,2454,496397,179347
Australia,South Australia,-34.9285,138.6007,1068,1467,214623,85621
Australia,Tasmania,-42.8821,147.3272,3369,4745,40339,16531
Australia,Victoria,-37.8136,144.9631,110351,336545,1496194,477074
Australia,Western Australia,-31.9505,115.8605,2418,3287,137874,62054
Austria,Unknown,47.5162,14.5501,438345,4607998,7209848,1476277
Azerbaijan,Unknown,40.1431,47.5769,161918,1890518,3517720,685506
Bahamas,Unknown,25.025885,-78.035889,17608,128764,293337,56644
Bahrain,Unknown,26.0275,50.55,47269,371236,543385,104985
Bangladesh,Unknown,23.685,90.3563,968739,6492171,10634624,2002107
Barbados,Unknown,13.1939,-59.5432,1837,28140,165235,38874
Belarus,Unknown,53.7098,27.9534,172608,1192890,2504565,484024
Belgium,Unknown,50.8333,4.469936,2931202,8947146,11545723,2282835
Belize,Unknown,17.1899,-88.4976,11440,137666,244235,46784
Benin,Unknown,9.3077,2.3158,7552,40811,59466,11084
Bhutan,Unknown,27.5142,90.4336,0,670,6116,1428
Bolivia,Unknown,-16.2902,-63.5887,1235173,5671149,7968882,1519545
Bosnia and Herzegovina,Unknown,43.9159,17.6791,250835,3261988,5728277,1105476
Botswana,Unknown,-22.3285,24.6849,3190,488116,989448,190461
Brazil,Unknown,-14.235,-51.9253,27108921,169575139,244098007,47398933
Brunei,Unknown,4.5353,114.7277,697,9529,72746,15300
Bulgaria,Unknown,42.7339,25.4858,347789,6554630,13393629,2596062
Burkina Faso,Unknown,12.2383,-1.5616,15425,64865,139098,26918
Burma,Unknown,21.9162,95.956,148452,3375837,7090262,1325320
Burundi,Unknown,-3.3731,29.9189,276,6901,13870,2584
Cabo Verde,Unknown,16.5388,-23.0418,12418,94435,147218,28059
Cambodia,Unknown,11.55,104.9167,0,424061,1112809,207808
Cameroon,Unknown,3.848,11.5021,88766,432600,704078,133620
Canada,Alberta,53.9333,-116.5765,75443,856633,1639828,373565
Canada,British Columbia,53.7267,-127.6476,68391,633434,1337798,344632
Canada,Diamond Princess,0.0,0.0,285,365,365,68
Canada,Grand Princess,0.0,0.0,0,0,0,0
Canada,Manitoba,53.7609,-98.8139,24029,396687,713624,164073
Canada,New Brunswick,46.5653,-66.4619,757,20721,154978,52264
Canada,Newfoundland and Labrador,53.1355,-57.6604,904,3115,63781,20460
Canada,Northwest Territories,64.8255,-124.8457,0,1035,7550,1496
Canada,Nova Scotia,44.682,-63.7443,15572,31028,146926,49413
Canada,Nunavut,70.2998,-83.1076,12,1232,2356,476
Canada,Ontario,51.2538,-85.3232,721891,3120214,4896973,1082380
Canada,Prince Edward Island,46.5107,-63.4168,1,0,14651,5966
Canada,Quebec,52.9399,-73.5491,1487721,3993298,5656674,1220542
Canada,Repatriated Travellers,46.42886,-50.81995,0,0,0,0
Canada,Saskatchewan,52.9399,-106.4509,7392,211126,501489,124932
Canada,Yukon,64.2823,-135.0,63,2037,9587,2176
Central African Republic,Unknown,6.6111,20.9394,11732,32247,40995,7684
Chad,Unknown,15.4542,18.7322,19635,59632,70104,13192
Chile,Unknown,-35.6751,-71.543,2404918,11113710,20333170,4339557
China,Anhui,31.8257,117.2264,1949,2190,2194,476
China,Beijing,40.1824,116.4142,2796,3285,3542,1360
China,Chongqing,30.0572,107.874,1955,2190,2231,739
China,Fujian,26.0789,117.9874,316,365,368,136
China,Gansu,35.7518,104.2861,655,730,730,136
China,Guangdong,23.3417,113.4244,2529,2920,2920,672
China,Guangxi,23.8298,108.7881,650,730,730,136
China,Guizhou,26.8154,106.8748,649,730,730,136
China,Hainan,19.1959,109.7453,1935,2190,2190,408
China,Hebei,39.549,116.1306,1942,2543,2555,476
China,Heilongjiang,47.862,127.7615,4237,4745,4745,1203
China,Henan,37.8957,114.9042,7082,8030,8071,1564
China,Hong Kong,22.3,114.2,16241,74875,2866628,892658
China,Hubei,30.9756,112.2707,1360316,1646880,1646880,307008
China,Hunan,27.6104,111.7088,1290,1460,1460,272
China,Inner Mongolia,44.0935,113.9448,304,365,365,68
China,Jiangsu,32.9711,119.455,0,0,0,0
China,Jiangxi,27.614,115.7221,326,365,365,132
China,Jilin,43.6661,126.1923,559,1071,1671,340
China,Liaoning,41.2956,122.6085,611,730,730,136
China,Macau,22.1667,113.55,0,0,1293,7532
China,Ningxia,37.2692,106.1655,0,0,0,0
China,Qinghai,35.7452,95.9956,0,0,0,0
China,Shaanxi,35.1917,108.8701,901,1095,1105,340
China,Shandong,36.3427,118.1498,2202,2555,2583,674
China,Shanghai,31.202,121.4491,2082,2555,147557,40460
China,Shanxi,37.5777,112.2922,0,0,0,65
China,Sichuan,30.6171,102.7103,978,1095,1171,808
China,Tianjin,39.3054,117.323,979,1095,1095,204
China,Tibet,31.6927,88.0924,0,0,0,0
China,Unknown,37.22135,74.88687,19742,71099,94405,4214290
China,Xinjiang,41.1129,85.2401,945,1095,1095,204
China,Yunnan,24.974,101.487,633,730,730,259
China,Zhejiang,29.1832,120.0934,316,365,365,68
Colombia,Unknown,4.5709,-74.2973,4585410,35427974,50990606,9667647
Comoros,Unknown,-11.6455,43.3333,1443,49980,58510,10948
Congo (Brazzaville),Unknown,-0.228,15.8277,16479,68937,139828,26340
Congo (Kinshasa),Unknown,-4.0383,21.7587,58666,330756,501208,99494
Costa Rica,Unknown,9.7489,-83.7534,174561,1720737,3106853,622910
Cote d'Ivoire,Unknown,7.54,-5.5471,23811,143866,294074,56663
Croatia,Unknown,45.1,15.2,156885,2852144,5840555,1214381
Cuba,Unknown,21.521757,-77.781167,26652,1230857,3104772,580040
Cyprus,Unknown,35.1264,33.4299,7726,145737,381750,87595
Czechia,Unknown,49.8175,15.473,600899,10127999,14651207,2877982
Denmark,Faroe Islands,61.8926,-6.9118,0,1065,9696,1904
Denmark,Greenland,71.7069,-42.6043,0,5,6766,1428
Denmark,Unknown,56.2639,9.5018,176879,917611,2260273,552272
Diamond Princess,Unknown,0.0,0.0,3815,4745,4745,884
Djibouti,Unknown,11.8251,42.5903,12519,49570,68985,12852
Dominica,Unknown,15.415,-61.371,0,3493,23891,5032
Dominican Republic,Unknown,18.7357,-70.1627,380121,1331819,1594617,298112
Ecuador,Unknown,-1.8312,-78.1834,2063529,8959876,12972582,2445809
Egypt,Unknown,26.820553,30.802498,1137521,5525740,8898861,1686819
El Salvador,Unknown,13.7942,-88.8965,153112,946540,1510123,287640
Equatorial Guinea,Unknown,1.6508,10.2679,15300,45497,66621,12444
Eritrea,Unknown,15.1794,39.7823,12,10066,37074,7004
Estonia,Unknown,58.5953,25.0136,20833,425939,922893,197851
Eswatini,Unknown,-26.5225,31.4659,17607,312619,512926,96739
Ethiopia,Unknown,9.145,40.4897,200308,1582711,2737604,514896
Fiji,Unknown,-17.7134,178.065,281,94968,311229,60036
Finland,Unknown,61.92411,25.748151,91124,375136,1721798,587658
France,French Guiana,3.9339,-53.1258,11117,64610,145025,28076
France,French Polynesia,-17.6797,149.4068,5220,112245,235945,44132
France,Guadeloupe,16.265,-61.551,14690,149444,346051,68437
France,Martinique,14.6415,-61.0242,5755,102943,351055,73978
France,Mayotte,-12.8275,45.166244,9328,56743,68232,12719
France,New Caledonia,-20.904305,165.618042,0,24560,112468,21352
France,Reunion,-21.1151,55.5364,3493,83748,281957,62363
France,Saint Barthelemy,17.9,-62.8333,0,752,2190,408
France,Saint Pierre and Miquelon,46.8852,-56.3159,0,0,358,136
France,St Martin,18.0708,-63.0501,1633,10264,22872,4284
France,Wallis and Futuna,-14.2938,-178.1165,0,1890,2555,476
France,Unknown,46.2276,2.2137,9233288,37863608,52855850,10914107
Gabon,Unknown,-0.8037,11.6094,11246,59056,110990,20808
Gambia,Unknown,13.4432,-15.3101,16217,84175,133620,25296
Georgia,Unknown,42.3154,43.3569,88726,2355373,6019823,1151420
Germany,Unknown,51.165691,10.451526,2890473,30892587,51001378,11274362
Ghana,Unknown,7.9465,-1.0232,53074,315598,526353,99404
Greece,Unknown,39.0742,21.8243,208444,4398618,10926524,2364972
Grenada,Unknown,12.1165,-61.679,0,19735,82789,16184
Guatemala,Unknown,15.7835,-90.2308,587281,3701568,6731592,1367356
Guinea,Unknown,9.9456,-9.6966,12892,83209,161973,31741
Guinea-Bissau,Unknown,11.8037,-15.1804,7413,32737,62139,11968
Guyana,Unknown,4.860416,-58.93018,16383,190548,453063,88042
Haiti,Unknown,18.9712,-72.2852,40688,167474,305236,58480
Holy See,Unknown,41.9029,12.4534,0,0,0,0
Honduras,Unknown,15.2,-86.2419,412628,2598055,3971370,754900
Hungary,Unknown,47.1625,19.5033,452473,9635417,16796644,3309161
Iceland,Unknown,64.9631,-19.0208,3674,11314,55174,15216
India,Unknown,20.593684,78.96288,17171598,121382644,190276333,36090662
Indonesia,Unknown,-0.7893,113.9213,2148683,30620691,56630819,10935507
Iran,Unknown,32.427908,53.688046,6222225,33112629,51455527,9844678
Iraq,Unknown,33.223191,43.679291,1623028,6615129,9179263,1725497
Ireland,Unknown,53.1424,-7.6921,460986,1758645,2683786,579279
Israel,Unknown,31.046051,34.851612,339051,2418498,3971180,829289
Italy,Unknown,41.87194,12.56738,10582442,43595671,61048721,12709950
Jamaica,Unknown,18.1096,-77.2975,23679,452353,1125025,236949
Japan,Unknown,36.204824,138.252924,364142,4811610,12607662,4588384
Jordan,Unknown,31.24,36.51,172825,3233166,5088860,960296
Kazakhstan,Unknown,48.0196,66.9237,342310,3598679,6916484,1296435
Kenya,Unknown,-0.0236,37.9062,158497,1320390,2061334,386784
Kiribati,Unknown,-3.3704,-168.734,0,0,4121,1169
"Korea, North",Unknown,40.3399,127.5101,0,0,1392,408
"Korea, South",Unknown,35.907757,127.766922,104652,829654,8012634,2273950
Kosovo,Unknown,42.602636,20.902977,118677,838125,1148402,217921
Kuwait,Unknown,29.31166,47.481766,132226,686533,930791,174760
Kyrgyzstan,Unknown,41.20438,74.766098,204465,754553,1084569,203388
