Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
Afghanistan,Unknown,33.93911,67.709953,0,0,4,60,254,739,1275,1406,1462,1533,1763,2189,2400,2443,2484,2625,2944,4871,6708,7118,7204,7280,7308,7356,7414,7598,7670,7683,7705,7723,7748,7777,7800,7822,7833,7849,7882,7896,7896
Albania,Unknown,41.1533,20.1683,0,0,15,31,33,62,157,284,387,509,810,1181,1380,1796,2235,2394,2451,2456,2457,2498,2698,2924,3096,3217,3346,3469,3492,3496,3497,3500,3545,3582,3589,3593,3594,3595,3596,3598,3598
Algeria,Unknown,28.0339,1.6596,0,0,44,450,653,912,1210,1510,1736,1964,2431,2756,2891,2983,3093,3253,3472,3716,4254,5269,5812,5920,6071,6276,6579,6835,6874,6875,6875,6875,6876,6878,6879,6881,6881,6881,6881,6881,6881
Andorra,Unknown,42.5063,1.5218,0,0,12,42,51,52,52,53,53,75,76,84,101,110,115,125,127,127,128,130,130,130,131,140,145,151,155,153,153,153,153,154,155,155,157,165,165,165,165
Angola,Unknown,-11.2027,17.8739,0,0,2,2,4,13,52,108,183,284,348,405,466,508,537,596,766,900,1011,1217,1537,1710,1733,1770,1895,1900,1900,1900,1900,1900,1912,1917,1917,1917,1924,1930,1931,1933,1933
Antarctica,Unknown,-71.9499,23.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Unknown,17.0608,-61.7964,0,0,0,3,3,3,3,3,3,3,4,5,7,14,28,32,42,42,43,44,79,102,117,119,127,135,135,136,138,141,144,145,146,146,146,146,146,146,146
Argentina,Unknown,-38.4161,-63.6167,0,0,27,218,539,1307,3543,8660,16937,31002,38730,43245,47974,51965,55858,63865,78093,94304,105721,111812,115179,115950,116589,117169,121273,126152,128019,128542,128889,129070,129369,129711,129897,129991,130025,130124,130421,130463,130472
Armenia,Unknown,40.0691,45.0382,0,0,3,32,131,443,738,879,959,1341,2164,2823,3080,3192,3515,4108,4438,4514,4614,4844,5319,6328,7567,7972,8053,8461,8613,8622,8625,8629,8633,8655,8683,8709,8710,8716,8717,8721,8727
Australia,Australian Capital Territory,-35.4735,149.0124,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,13,14,15,26,34,42,51,64,80,92,124,126,127,129,138,152,224,228
Australia,New South Wales,-33.8688,151.2093,0,0,8,41,48,49,50,52,53,53,53,54,54,54,54,54,54,54,68,154,406,572,628,668,1422,1910,2100,2774,3179,3590,4165,4907,5314,5430,5540,5804,6218,6464,6529
Australia,Northern Territory,-12.4634,130.8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,35,43,49,53,55,68,73,75,79,84,87,90,91
Australia,Queensland,-27.4698,153.0251,0,0,2,6,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,209,540,740,868,1057,1254,1567,1985,2239,2274,2331,2405,2643,2760,2783
Australia,South Australia,-34.9285,138.6007,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,120,179,259,348,444,533,679,786,946,1029,1067,1155,1235,1333,1365
Australia,Tasmania,-42.8821,147.3272,0,0,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,25,31,51,76,92,141,180,187,193,201,224,244,252,256
Australia,Victoria,-37.8136,144.9631,0,0,4,18,19,20,116,570,800,819,820,820,820,820,820,820,820,820,820,822,864,1125,1336,1534,2029,2490,2749,2967,3434,3934,4662,5325,5678,5841,6040,6405,7116,7317,7370
Australia,Western Australia,-31.9505,115.8605,0,0,2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,10,52,148,256,394,504,590,658,696,750,841,920,944,952
Austria,Unknown,47.5162,14.5501,0,0,134,635,741,810,848,903,994,1431,4084,7486,9393,10432,11404,12416,12922,13070,13135,13227,13506,13946,15405,16815,17207,17911,18952,19726,19927,20048,20317,20639,20743,20981,21210,21443,21689,21887,21970
Azerbaijan,Unknown,40.1431,47.5769,0,0,5,24,63,213,448,534,591,730,1392,2641,3132,3220,3567,4517,4913,4974,5023,5636,6525,7074,7856,8358,8734,9417,9692,9709,9713,9717,9748,9805,9917,9944,9980,10008,10085,10119,10138
