Country/Region,Province/State,Lat,Long,Total_deaths_2020,Total_deaths_2021,Total_deaths_2022,Total_deaths_2023
Afghanistan,Unknown,33.93911,67.709953,2189,7356,7849,7896
Albania,Unknown,41.1533,20.1683,1181,3217,3595,3598
Algeria,Unknown,28.0339,1.6596,2756,6276,6881,6881
Andorra,Unknown,42.5063,1.5218,84,140,165,165
Angola,Unknown,-11.2027,17.8739,405,1770,1930,1933
Antarctica,Unknown,-71.9499,23.347,0,0,0,0
Antigua and Barbuda,Unknown,17.0608,-61.7964,5,119,146,146
Argentina,Unknown,-38.4161,-63.6167,43245,117169,130124,130472
Armenia,Unknown,40.0691,45.0382,2823,7972,8716,8727
Australia,Australian Capital Territory,-35.4735,149.0124,3,15,138,228
Australia,New South Wales,-33.8688,151.2093,54,668,5804,6529
Australia,Northern Territory,-12.4634,130.8456,0,1,84,91
Australia,Queensland,-27.4698,153.0251,7,7,2405,2783
Australia,South Australia,-34.9285,138.6007,4,6,1155,1365
Australia,Tasmania,-42.8821,147.3272,13,13,224,256
Australia,Victoria,-37.8136,144.9631,820,1534,6405,7370
Australia,Western Australia,-31.9505,115.8605,9,10,841,952
Austria,Unknown,47.5162,14.5501,7486,16815,21443,21970
Azerbaijan,Unknown,40.1431,47.5769,2641,8358,10008,10138
Bahamas,Unknown,25.025885,-78.035889,170,717,833,833
Bahrain,Unknown,26.0275,50.55,352,1394,1539,1553
Bangladesh,Unknown,23.685,90.3563,7559,28072,29440,29445
Barbados,Unknown,13.1939,-59.5432,7,260,568,579
Belarus,Unknown,53.7098,27.9534,1424,5578,7118,7118
Belgium,Unknown,50.8333,4.469936,19528,28331,33228,33814
Belize,Unknown,17.1899,-88.4976,248,602,688,688
Benin,Unknown,9.3077,2.3158,44,161,163,163
Bhutan,Unknown,27.5142,90.4336,0,3,21,21
Bolivia,Unknown,-16.2902,-63.5887,9165,19680,22299,22365
Bosnia and Herzegovina,Unknown,43.9159,17.6791,4050,13442,16227,16280
Botswana,Unknown,-22.3285,24.6849,42,2444,2794,2876
Brazil,Unknown,-14.235,-51.9253,195072,619334,693853,699276
Brunei,Unknown,4.5353,114.7277,3,98,225,225
Bulgaria,Unknown,42.7339,25.4858,7576,30955,38108,38228
Burkina Faso,Unknown,12.2383,-1.5616,85,318,395,396
Burma,Unknown,21.9162,95.956,2682,19268,19490,19490
Burundi,Unknown,-3.3731,29.9189,2,38,38,38
Cabo Verde,Unknown,16.5388,-23.0418,113,352,412,413
Cambodia,Unknown,11.55,104.9167,0,3012,3056,3056
Cameroon,Unknown,3.848,11.5021,448,1851,1965,1965
Canada,Alberta,53.9333,-116.5765,1046,3310,5351,5622
Canada,British Columbia,53.7267,-127.6476,901,2423,4806,5249
Canada,Diamond Princess,0.0,0.0,1,1,1,1
Canada,Grand Princess,0.0,0.0,0,0,0,0
Canada,Manitoba,53.7609,-98.8139,667,1392,2331,2464
Canada,New Brunswick,46.5653,-66.4619,9,160,635,834
Canada,Newfoundland and Labrador,53.1355,-57.6604,4,19,288,318
Canada,Northwest Territories,64.8255,-124.8457,0,12,22,22
Canada,Nova Scotia,44.682,-63.7443,65,111,674,794
Canada,Nunavut,70.2998,-83.1076,1,4,7,7
Canada,Ontario,51.2538,-85.3232,4530,10194,15538,16234
Canada,Prince Edward Island,46.5107,-63.4168,1,0,82,93
Canada,Quebec,52.9399,-73.5491,8356,11724,17690,18160
Canada,Repatriated Travellers,,,0,0,0,0
Canada,Saskatchewan,52.9399,-106.4509,155,955,1781,1890
Canada,Yukon,64.2823,-135.0,1,15,32,32
Central African Republic,Unknown,6.6111,20.9394,63,101,113,113
Chad,Unknown,15.4542,18.7322,104,181,194,194
Chile,Unknown,-35.6751,-71.543,16608,39115,63172,64273
China,Anhui,31.8257,117.2264,6,6,7,7
China,Beijing,40.1824,116.4142,9,9,20,20
China,Chongqing,30.0572,107.874,6,6,9,11
China,Fujian,26.0789,117.9874,1,1,2,2
China,Gansu,35.7518,104.2861,2,2,2,2
China,Guangdong,23.3417,113.4244,8,8,8,10
China,Guangxi,23.8298,108.7881,2,2,2,2
China,Guizhou,26.8154,106.8748,2,2,2,2
China,Hainan,19.1959,109.7453,6,6,6,6
China,Hebei,39.549,116.1306,6,7,7,7
China,Heilongjiang,47.862,127.7615,13,13,13,18
China,Henan,37.8957,114.9042,22,22,23,23
China,Hong Kong,22.3,114.2,148,213,11807,13467
China,Hubei,30.9756,112.2707,4512,4512,4512,4515
China,Hunan,27.6104,111.7088,4,4,4,4
China,Inner Mongolia,44.0935,113.9448,1,1,1,1
China,Jiangsu,32.9711,119.455,0,0,0,0
China,Jiangxi,27.614,115.7221,1,1,1,2
China,Jilin,43.6661,126.1923,2,3,5,5
China,Liaoning,41.2956,122.6085,2,2,2,2
China,Macau,22.1667,113.55,0,0,45,121
China,Ningxia,37.2692,106.1655,0,0,0,0
China,Qinghai,35.7452,95.9956,0,0,0,0
China,Shaanxi,35.1917,108.8701,3,3,5,5
China,Shandong,36.3427,118.1498,7,7,8,10
China,Shanghai,31.202,121.4491,7,7,595,595
China,Shanxi,37.5777,112.2922,0,0,0,1
China,Sichuan,30.6171,102.7103,3,3,7,12
China,Tianjin,39.3054,117.323,3,3,3,3
China,Tibet,31.6927,88.0924,0,0,0,0
China,Unknown,,,99,254,323,82195
China,Xinjiang,41.1129,85.2401,3,3,3,3
China,Yunnan,24.974,101.487,2,2,2,4
China,Zhejiang,29.1832,120.0934,1,1,1,1
Colombia,Unknown,4.5709,-74.2973,43213,129942,141881,142339
Comoros,Unknown,-11.6455,43.3333,10,157,161,161
Congo (Brazzaville),Unknown,-0.228,15.8277,114,367,386,388
Congo (Kinshasa),Unknown,-4.0383,21.7587,591,1205,1462,1464
Costa Rica,Unknown,9.7489,-83.7534,2185,7353,9072,9245
Cote d'Ivoire,Unknown,7.54,-5.5471,137,714,831,834
Croatia,Unknown,45.1,15.2,3920,12538,17596,17987
Cuba,Unknown,21.521757,-77.781167,146,8322,8530,8530
Cyprus,Unknown,35.1264,33.4299,120,638,1258,1330
Czechia,Unknown,49.8175,15.473,11580,36129,42131,42491
Denmark,Faroe Islands,61.8926,-6.9118,0,14,28,28
Denmark,Greenland,71.7069,-42.6043,0,1,21,21
Denmark,Unknown,56.2639,9.5018,1298,3267,7758,8296
Diamond Princess,Unknown,0.0,0.0,13,13,13,13
Djibouti,Unknown,11.8251,42.5903,61,189,189,189
Dominica,Unknown,15.415,-61.371,0,47,74,74
Dominican Republic,Unknown,18.7357,-70.1627,2414,4247,4384,4384
Ecuador,Unknown,-1.8312,-78.1834,14034,33681,35940,36014
Egypt,Unknown,26.820553,30.802498,7631,21752,24801,24812
El Salvador,Unknown,13.7942,-88.8965,1327,3824,4230,4230
Equatorial Guinea,Unknown,1.6508,10.2679,86,175,183,183
Eritrea,Unknown,15.1794,39.7823,3,76,103,103
Estonia,Unknown,58.5953,25.0136,229,1932,2854,2946
Eswatini,Unknown,-26.5225,31.4659,205,1303,1422,1425
Ethiopia,Unknown,9.145,40.4897,1923,6937,7572,7572
Fiji,Unknown,-17.7134,178.065,2,698,881,883
Finland,Unknown,61.92411,25.748151,592,1714,7933,8967
France,French Guiana,3.9339,-53.1258,71,338,411,413
France,French Polynesia,-17.6797,149.4068,114,636,649,649
France,Guadeloupe,16.265,-61.551,155,835,997,1010
France,Martinique,14.6415,-61.0242,42,777,1076,1092
France,Mayotte,-12.8275,45.166244,55,185,187,188
France,New Caledonia,-20.904305,165.618042,0,281,314,314
France,Reunion,-21.1151,55.5364,42,409,906,921
France,Saint Barthelemy,17.9,-62.8333,0,6,6,6
France,Saint Pierre and Miquelon,46.8852,-56.3159,0,0,2,2
France,St Martin,18.0708,-63.0501,12,58,63,63
France,Wallis and Futuna,-14.2938,-178.1165,0,7,7,7
France,Unknown,46.2276,2.2137,64267,121201,158385,161512
Gabon,Unknown,-0.8037,11.6094,64,288,306,306
Gambia,Unknown,13.4432,-15.3101,124,343,372,372
Georgia,Unknown,42.3154,43.3569,2505,13800,16897,16971
Germany,Unknown,51.165691,10.451526,33071,111602,161465,168935
Ghana,Unknown,7.9465,-1.0232,335,1295,1461,1462
Greece,Unknown,39.0742,21.8243,4838,20790,34779,34779
Grenada,Unknown,12.1165,-61.679,0,200,238,238
Guatemala,Unknown,15.7835,-90.2308,4813,16107,20001,20182
Guinea,Unknown,9.9456,-9.6966,81,391,466,467
Guinea-Bissau,Unknown,11.8037,-15.1804,45,149,176,176
Guyana,Unknown,4.860416,-58.93018,164,1054,1286,1298
Haiti,Unknown,18.9712,-72.2852,236,773,860,860
Holy See,Unknown,41.9029,12.4534,0,0,0,0
Honduras,Unknown,15.2,-86.2419,3130,10433,11071,11111
Hungary,Unknown,47.1625,19.5033,9537,39186,48495,48762
Iceland,Unknown,64.9631,-19.0208,29,37,229,263
India,Unknown,20.593684,78.96288,148994,481486,530705,530779
Indonesia,Unknown,-0.7893,113.9213,22138,144094,160612,160941
Iran,Unknown,32.427908,53.688046,55223,131606,144685,144933
Iraq,Unknown,33.223191,43.679291,12813,24158,25373,25375
Ireland,Unknown,53.1424,-7.6921,2237,5912,8293,8708
Israel,Unknown,31.046051,34.851612,3325,8243,12037,12329
Italy,Unknown,41.87194,12.56738,74159,137402,184642,188322
Jamaica,Unknown,18.1096,-77.2975,302,2473,3461,3514
Japan,Unknown,36.204824,138.252924,3492,18392,57274,72997
Jordan,Unknown,31.24,36.51,3834,12653,14122,14122
Kazakhstan,Unknown,48.0196,66.9237,2749,18211,19057,19071
Kenya,Unknown,-0.0236,37.9062,1670,5378,5688,5688
Kiribati,Unknown,-3.3704,-168.734,0,0,13,18
"Korea, North",Unknown,40.3399,127.5101,0,0,6,6
"Korea, South",Unknown,35.907757,127.766922,917,5625,32219,34093
Kosovo,Unknown,42.602636,20.902977,1332,2990,3202,3211
Kuwait,Unknown,29.31166,47.481766,934,2468,2570,2570
Kyrgyzstan,Unknown,41.20438,74.766098,1498,2802,2991,2991
Laos,Unknown,19.85627,102.495496,0,372,758,758
Latvia,Unknown,56.8796,24.6032,635,4570,6161,6269
Lebanon,Unknown,33.8547,35.8623,1468,9119,10746,10841
Lesotho,Unknown,-29.61,28.2336,51,665,706,723
Liberia,Unknown,6.428055,-9.429499,83,287,294,295
Libya,Unknown,26.3351,17.228331,1478,5710,6437,6437
Liechtenstein,Unknown,47.14,9.55,44,69,88,89
Lithuania,Unknown,55.1694,23.8813,1800,7397,9481,9596
Luxembourg,Unknown,49.8153,6.1296,495,915,1178,1220
MS Zaandam,Unknown,0.0,0.0,2,2,2,2
Madagascar,Unknown,-18.766947,46.869107,261,1027,1416,1423
Malawi,Unknown,-13.2543,34.3015,189,2364,2896,2686
Malaysia,Unknown,4.210484,101.975766,471,31487,36853,36967
Maldives,Unknown,3.2028,73.2207,48,262,311,311
Mali,Unknown,17.570692,-3.996166,269,660,743,743
Malta,Unknown,35.9375,14.3754,219,476,815,828
Marshall Islands,Unknown,7.1315,171.1845,0,0,17,17
Mauritania,Unknown,21.0079,-10.9408,347,866,997,997
Mauritius,Unknown,-20.348404,57.552152,10,786,1041,1044
Mexico,Unknown,23.6345,-102.5528,125807,299428,331105,333188
Micronesia,Unknown,7.4256,150.5508,0,0,58,61
Moldova,Unknown,47.4116,28.3699,2985,10275,11933,12003
Monaco,Unknown,43.7333,7.4167,4,38,65,67
Mongolia,Unknown,46.8625,103.8467,1,1986,2136,2136
Montenegro,Unknown,42.708678,19.37439,682,2411,2791,2808
Morocco,Unknown,31.7917,-7.0926,7388,14849,16294,16296
Mozambique,Unknown,-18.665695,35.529562,166,2006,2230,2242
Namibia,Unknown,-22.9576,18.4904,205,3633,4082,4090
Nauru,Unknown,-0.5228,166.9315,0,0,1,1
Nepal,Unknown,28.1667,84.25,1856,11594,12019,12020
Netherlands,Aruba,12.5211,-69.9683,49,181,280,282
Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,3,23,39,41
Netherlands,Curacao,12.1696,-68.99,14,189,299,301
Netherlands,Sint Maarten,18.0425,-63.0548,27,75,89,91
Netherlands,Unknown,52.1326,5.2913,11432,20924,22990,22990
New Zealand,Cook Islands,-21.2367,-159.7777,0,0,1,2
New Zealand,Niue,-19.0544,-169.8672,0,0,0,0
New Zealand,Unknown,-40.9006,174.886,26,48,2331,2548
Nicaragua,Unknown,12.865416,-85.207229,165,217,245,245
Niger,Unknown,17.607789,8.081666,104,275,314,315
Nigeria,Unknown,9.082,8.6753,1289,3030,3155,3155
North Macedonia,Unknown,41.6086,21.7453,2503,7960,9614,9662
Norway,Unknown,60.472,8.4689,436,1305,4670,5213
Oman,Unknown,21.512583,55.923255,1499,4116,4628,4628
Pakistan,Unknown,30.3753,69.3451,10176,28933,30636,30644
Palau,Unknown,7.515,134.5825,0,0,9,9
Panama,Unknown,8.538,-80.7821,4022,7428,8567,8609
Papua New Guinea,Unknown,-6.314993,143.95555,9,590,669,670
Paraguay,Unknown,-23.4425,-58.4438,2262,16624,19688,19878
Peru,Unknown,-9.19,-75.0152,93070,202690,218232,219539
Philippines,Unknown,12.879721,121.774017,9244,51504,65385,66188
Poland,Unknown,51.9194,19.1451,28554,97054,118533,119010
Portugal,Unknown,39.3999,-8.2245,6906,18955,25714,26266
Qatar,Unknown,25.3548,51.1839,245,618,685,688
Romania,Unknown,45.9432,24.9668,15767,58752,67374,67736
Russia,Unknown,61.52401,105.318756,56271,302671,385789,388478
Rwanda,Unknown,-1.9403,29.8739,92,1350,1467,1468
Saint Kitts and Nevis,Unknown,17.357822,-62.782998,0,28,46,47
Saint Lucia,Unknown,13.9094,-60.9789,5,295,409,409
Saint Vincent and the Grenadines,Unknown,12.9843,-61.2872,0,81,119,123
Samoa,Unknown,-13.759,-172.1046,0,0,29,29
San Marino,Unknown,43.9424,12.4578,59,100,121,122
Sao Tome and Principe,Unknown,0.1864,6.6131,17,57,77,77
Saudi Arabia,Unknown,23.885942,45.079162,6223,8877,9518,9618
Senegal,Unknown,14.4974,-14.4524,410,1890,1988,1971
Serbia,Unknown,44.0165,21.0059,3211,12714,17519,17881
Seychelles,Unknown,-4.6796,55.492,0,134,172,172
Sierra Leone,Unknown,8.460555,-11.779889,76,123,126,126
Singapore,Unknown,1.2833,103.8333,29,828,1711,1722
Slovakia,Unknown,48.669,19.699,2138,16635,20823,21035
Slovenia,Unknown,46.1512,14.9955,2697,5589,7008,7078
Solomon Islands,Unknown,-9.6457,160.1562,0,0,153,153
Somalia,Unknown,5.152149,46.199616,130,1333,1361,1361
South Africa,Unknown,-30.5595,22.9375,28469,91145,102568,102595
South Sudan,Unknown,6.877,31.307,63,135,138,138
Spain,Unknown,40.463667,-3.74922,50837,89405,117095,119479
Sri Lanka,Unknown,7.873054,80.771797,204,14979,16817,16830
Sudan,Unknown,12.8628,30.2176,1468,3331,4994,5017
Summer Olympics 2020,Unknown,35.6491,139.7737,0,0,0,0
Suriname,Unknown,3.9193,-56.0278,122,1189,1393,1404
Sweden,Unknown,60.128161,18.643501,8727,15310,21827,23777
Switzerland,Unknown,46.8182,8.2275,7873,12217,14173,14244
Syria,Unknown,34.802075,38.996815,711,2897,3163,3164
Taiwan*,Unknown,23.7,121.0,7,850,15253,17672
Tajikistan,Unknown,38.861,71.2761,90,125,125,125
Tanzania,Unknown,-6.369028,34.888822,21,737,845,846
Thailand,Unknown,15.870032,100.992541,61,21698,33594,33918
Timor-Leste,Unknown,-8.874217,125.727539,0,122,138,138
Togo,Unknown,8.6195,0.8248,68,248,290,290
Tonga,Unknown,-21.179,-175.1982,0,0,12,13
Trinidad and Tobago,Unknown,10.6918,-61.2225,127,2869,4283,4355
Tunisia,Unknown,33.886917,9.537499,4676,25569,29284,29341
Turkey,Unknown,38.9637,35.2433,20881,82361,101203,101492
Tuvalu,Unknown,-7.1095,177.6493,0,0,0,0
US,Unknown,40.0,-100.0,350604,825468,1092764,1123836
Uganda,Unknown,1.373333,32.290275,251,3294,3630,3630
Ukraine,Unknown,48.3794,31.1656,19281,102088,118689,119283
United Arab Emirates,Unknown,23.424076,53.847818,669,2164,2348,2349
United Kingdom,Anguilla,18.2206,-63.0686,0,5,12,12
United Kingdom,Bermuda,32.3078,-64.7505,10,110,153,160
United Kingdom,British Virgin Islands,18.4207,-64.64,1,39,64,64
United Kingdom,Cayman Islands,19.3133,-81.2546,2,11,37,37
United Kingdom,Channel Islands,49.3723,-2.3644,0,0,0,0
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,0,0,0,0
United Kingdom,Gibraltar,36.1408,-5.3536,7,100,110,111
United Kingdom,Guernsey,49.448196,-2.58949,16,24,66,69
United Kingdom,Isle of Man,54.2361,-4.5481,25,67,116,116
United Kingdom,Jersey,49.2138,-2.1358,41,89,146,161
United Kingdom,Montserrat,16.742498,-62.187366,1,1,8,8
United Kingdom,Pitcairn Islands,-24.3768,-128.3242,0,0,0,0
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,1,0,0,0
United Kingdom,Turks and Caicos Islands,21.694,-71.7979,6,26,36,38
United Kingdom,Unknown,55.3781,-3.436,94998,177397,216306,219948
Uruguay,Unknown,-32.5228,-55.7658,181,6170,7562,7617
Uzbekistan,Unknown,41.377491,64.585262,614,1485,1637,1637
Vanuatu,Unknown,-15.3767,166.9592,0,1,14,14
Venezuela,Unknown,6.4238,-66.5897,1028,5328,5832,5854
Vietnam,Unknown,14.058324,108.277199,35,32394,43186,43186
West Bank and Gaza,Unknown,31.9522,35.2332,1400,4919,5708,5708
Winter Olympics 2022,Unknown,39.9042,116.4074,0,0,0,0
Yemen,Unknown,15.552727,48.516388,610,1984,2159,2159
Zambia,Unknown,-13.133897,27.849332,388,3734,4024,4057
Zimbabwe,Unknown,-19.015438,29.154857,363,5004,5637,5671
