Province_State,Admin2,UID,iso2,iso3,code3,Lat,Long_,Total_confirmed_cases_01_2020,Total_confirmed_cases_02_2020,Total_confirmed_cases_03_2020,Total_confirmed_cases_04_2020,Total_confirmed_cases_05_2020,Total_confirmed_cases_06_2020,Total_confirmed_cases_07_2020,Total_confirmed_cases_08_2020,Total_confirmed_cases_09_2020,Total_confirmed_cases_10_2020,Total_confirmed_cases_11_2020,Total_confirmed_cases_12_2020,Total_confirmed_cases_01_2021,Total_confirmed_cases_02_2021,Total_confirmed_cases_03_2021,Total_confirmed_cases_04_2021,Total_confirmed_cases_05_2021,Total_confirmed_cases_06_2021,Total_confirmed_cases_07_2021,Total_confirmed_cases_08_2021,Total_confirmed_cases_09_2021,Total_confirmed_cases_10_2021,Total_confirmed_cases_11_2021,Total_confirmed_cases_12_2021,Total_confirmed_cases_01_2022,Total_confirmed_cases_02_2022,Total_confirmed_cases_03_2022,Total_confirmed_cases_04_2022,Total_confirmed_cases_05_2022,Total_confirmed_cases_06_2022,Total_confirmed_cases_07_2022,Total_confirmed_cases_08_2022,Total_confirmed_cases_09_2022,Total_confirmed_cases_10_2022,Total_confirmed_cases_11_2022,Total_confirmed_cases_12_2022,Total_confirmed_cases_01_2023,Total_confirmed_cases_02_2023,Total_confirmed_cases_03_2023
Alabama,Autauga,84001001,US,USA,840,32.53952745,-86.64408227,0,0,8,42,227,554,1042,1440,1792,2168,2780,4190,5669,6264,6589,6904,7142,7257,7537,8758,9744,10252,10526,11018,14742,15510,15655,15827,15963,16536,17468,17991,18396,18511,18680,18961,19471,19732,19790
Alabama,Baldwin,84001003,US,USA,840,30.72774991,-87.72207058,0,0,23,180,298,691,3116,4538,5954,6955,8890,13601,18126,19732,20505,20941,21620,22027,25207,33090,36447,37414,38104,39911,52649,54978,55414,55643,56512,58905,61967,64095,65653,65973,66730,67496,68983,69641,69860
Alabama,Barbour,84001005,US,USA,840,31.868263,-85.3871286,0,0,0,38,172,328,603,759,894,1059,1178,1514,1951,2115,2227,2300,2334,2346,2506,3060,3490,3601,3699,3860,5263,5445,5656,5668,5707,5891,6308,6650,6896,6930,6980,7027,7299,7451,7485
Alabama,Bibb,84001007,US,USA,840,32.99642064,-87.12511459999996,0,0,3,40,77,176,369,558,668,877,1196,1834,2307,2450,2542,2594,2666,2693,2897,3479,4131,4279,4345,4533,6107,6375,6418,6442,6500,6704,6947,7291,7526,7575,7637,7692,7919,8067,8091
Alabama,Blount,84001009,US,USA,840,33.98210918,-86.56790593,0,0,7,39,66,218,799,1332,1636,2109,2997,4641,5713,6097,6444,6613,6864,6987,7352,8595,9818,10406,10729,11256,14056,14760,14900,14980,15073,15370,15998,16496,16912,17320,17500,17731,18255,18616,18704
Alabama,Bullock,84001011,US,USA,840,32.10030533,-85.71265535,0,0,2,13,209,356,439,564,611,653,702,859,1086,1169,1207,1228,1233,1249,1265,1384,1503,1527,1527,1676,2234,2280,2303,2318,2336,2439,2623,2715,2802,2818,2853,2886,2970,3020,3030
Alabama,Butler,84001013,US,USA,840,31.75300095,-86.68057478,0,0,1,55,413,599,749,865,915,1023,1178,1508,1812,1961,2098,2152,2219,2262,2401,2814,3203,3351,3439,3613,4784,5035,5051,5064,5089,5251,5547,5843,6051,6059,6102,6185,6410,6518,6551
Alabama,Calhoun,84001015,US,USA,840,33.77483727,-85.82630386,0,0,10,97,169,278,1445,2582,3556,4883,6430,9494,12011,13275,14224,14438,14622,14776,15382,17858,21573,22348,22598,23411,30046,31638,32353,32399,32581,33275,34553,35737,38211,38545,39001,39458,40586,41228,41421
Alabama,Chambers,84001017,US,USA,840,32.91360079,-85.39072749,0,0,40,292,370,594,862,1037,1172,1392,1779,2341,3203,3410,3488,3541,3665,3736,3936,4732,5467,5785,5810,6171,8181,8431,8468,8486,8543,8815,9388,9800,9985,10039,10155,10311,10656,10812,10859
Alabama,Cherokee,84001019,US,USA,840,34.17805983,-85.60638968,0,0,1,16,38,76,242,414,609,782,1034,1414,1704,1770,1806,1836,1862,1875,1988,2444,2932,3068,3183,3385,4822,5074,5112,5126,5152,5258,5528,5805,6008,6060,6262,6456,6668,6732,6755
