Province_State,Admin2,UID,iso2,iso3,code3,Lat,Long_,Total_deaths_2020,Total_deaths_2021,Total_deaths_2022,Total_deaths_2023
Alabama,Autauga,84001001,US,USA,840,32.53952745,-86.64408227,48,160,230,232
Alabama,Baldwin,84001003,US,USA,840,30.72774991,-87.72207058,161,593,719,727
Alabama,Barbour,84001005,US,USA,840,31.868263,-85.3871286,32,81,103,103
Alabama,Bibb,84001007,US,USA,840,32.99642064,-87.12511459999996,46,95,108,109
Alabama,Blount,84001009,US,USA,840,33.98210918,-86.56790593,63,198,260,261
Alabama,Bullock,84001011,US,USA,840,32.10030533,-85.71265535,22,46,54,54
Alabama,Butler,84001013,US,USA,840,31.75300095,-86.68057478,45,102,130,132
Alabama,Calhoun,84001015,US,USA,840,33.77483727,-85.82630386,156,532,665,680
Alabama,Chambers,84001017,US,USA,840,32.91360079,-85.39072749,63,147,170,172
Alabama,Cherokee,84001019,US,USA,840,34.17805983,-85.60638968,24,65,89,89
Alabama,Chilton,84001021,US,USA,840,32.85044126,-86.7173256,54,173,216,219
Alabama,Choctaw,84001023,US,USA,840,32.02227341,-88.26564429999998,22,30,39,39
Alabama,Clarke,84001025,US,USA,840,31.68099859,-87.83548597,25,88,107,107
Alabama,Clay,84001027,US,USA,840,33.26984193,-85.85836077,34,70,90,93
Alabama,Cleburne,84001029,US,USA,840,33.67679204,-85.52005899,16,60,71,72
Alabama,Coffee,84001031,US,USA,840,31.39932826,-85.98901039,38,195,243,245
Alabama,Colbert,84001033,US,USA,840,34.69847452,-87.80168544,60,214,275,279
Alabama,Conecuh,84001035,US,USA,840,31.43401703,-86.99320044,17,62,75,76
Alabama,Coosa,84001037,US,USA,840,32.93690146,-86.24847739,7,48,62,64
Alabama,Covington,84001039,US,USA,840,31.2477854,-86.45050893,40,200,256,261
Alabama,Crenshaw,84001041,US,USA,840,31.72941803,-86.31593104,36,79,108,110
Alabama,Cullman,84001043,US,USA,840,34.13020303,-86.86888037,78,310,391,398
Alabama,Dale,84001045,US,USA,840,31.43037123,-85.61095742,63,194,245,245
Alabama,Dallas,84001047,US,USA,840,32.32688101,-87.10866709999998,43,212,256,259
Alabama,DeKalb,84001049,US,USA,840,34.45946862,-85.80782906,61,278,344,345
Alabama,Elmore,84001051,US,USA,840,32.59785413,-86.14415284,83,297,360,362
Alabama,Escambia,84001053,US,USA,840,31.1256789,-87.15918694,34,148,178,179
Alabama,Etowah,84001055,US,USA,840,34.04567266,-86.04051873,94,527,686,692
