product_id,product_name,category,subcategory,brand,price
1,Bill,Electronics,Audio,Conner-Barker,932.57
2,Order,Home Appliances,Climate Control,Gonzalez-Foster,671.98
3,Threat,Electronics,Mobile Phones,Clark LLC,214.51
4,Sometimes,Home Appliances,Climate Control,Kim-Webb,846.57
5,Crime,Electronics,Computers,Pearson-Andrews,250.05
6,Task,Electronics,Audio,"Johnston, Miller and Miller",1451.0
7,Herself,Home Appliances,Cleaning Appliances,Lowery Group,840.78
8,Option,Home Appliances,Kitchen Appliances,Torres Inc,1288.85
9,Network,Home Appliances,Climate Control,Johnson and Sons,1388.82
10,Law,Home Appliances,Kitchen Appliances,Jennings-Wright,1344.55
11,Remember,Home Appliances,Cleaning Appliances,"Estes, Dominguez and Warner",824.48
12,Over,Electronics,Mobile Phones,Meyer and Sons,93.71
13,Ten,Home Appliances,Cleaning Appliances,"Leblanc, Leon and Doyle",1343.49
14,Contain,Home Appliances,Cleaning Appliances,Lee-Byrd,269.3
15,View,Electronics,Audio,"Anderson, Smith and Hunt",1306.85
16,Into,Electronics,Mobile Phones,Sanchez and Sons,477.72
17,He,Home Appliances,Climate Control,Rivas-Dickerson,620.56
18,Interesting,Electronics,TVs,"Jackson, Soto and Murray",592.52
19,Stage,Electronics,TVs,Caldwell Ltd,804.32
20,Perhaps,Electronics,Mobile Phones,Ramos-Hayes,423.4
21,Music,Electronics,TVs,"Payne, Mitchell and James",942.91
22,Glass,Home Appliances,Kitchen Appliances,Johnson Inc,1036.83
23,Up,Electronics,Wearables,Zimmerman-Hernandez,1002.94
24,Executive,Electronics,TVs,Mcgee and Sons,796.61
25,Music,Electronics,TVs,Hansen Group,1001.15
26,Main,Home Appliances,Climate Control,Wilson and Sons,461.81
27,Let,Home Appliances,Climate Control,Fernandez and Sons,770.15
28,Foreign,Home Appliances,Kitchen Appliances,Washington-Kelly,204.64
29,Receive,Electronics,Audio,"Blair, Aguilar and Morrison",1247.66
30,Until,Electronics,Mobile Phones,Dillon-Jackson,306.84
31,Group,Home Appliances,Climate Control,"Williams, Bryant and Hall",1159.16
32,Evidence,Electronics,Wearables,"Little, Payne and Torres",169.31
33,Bit,Home Appliances,Climate Control,Obrien Ltd,511.1
34,More,Home Appliances,Kitchen Appliances,Nguyen-Brady,368.46
35,Local,Electronics,Audio,"Cain, Walker and Miller",934.87
36,Catch,Home Appliances,Kitchen Appliances,"Brooks, Johnson and Kirk",751.01
37,Off,Home Appliances,Cleaning Appliances,Salazar and Sons,89.47
38,Left,Home Appliances,Kitchen Appliances,Roman-Hampton,175.64
39,Ok,Electronics,Wearables,Willis LLC,237.73
40,With,Home Appliances,Cleaning Appliances,Smith-Mitchell,243.2
41,Yeah,Home Appliances,Cleaning Appliances,Nunez-Smith,1068.9
42,Result,Electronics,Mobile Phones,Rodriguez Group,1119.46
43,Town,Home Appliances,Cleaning Appliances,"Leblanc, Gomez and Clark",874.03
44,With,Home Appliances,Cleaning Appliances,Logan Ltd,333.75
45,Green,Electronics,Audio,"Walsh, Boyer and Powers",236.26
46,Western,Electronics,Audio,Jones-Gould,549.13
47,Not,Home Appliances,Climate Control,White Ltd,82.08
48,Beautiful,Home Appliances,Climate Control,Perez-Branch,1474.84
49,Free,Electronics,Mobile Phones,Bond LLC,584.53
50,Action,Home Appliances,Cleaning Appliances,Ford Inc,1228.11
